Fixtures,, , ,,,,,NIF,Collide,,On.
ID,NIF #,Textual Name,X,Y,Z,A,Scale,Collide,Radius,Animate,Ground,Flip,Cave, Unique Id
42,444,Pine#2,26624,9984,0,268,158,0,15,0,1,0,0,42
43,444,Pine#2,19200,10496,0,51,177,0,15,0,1,0,0,43
44,444,Pine#2,18432,5376,0,115,151,0,15,0,1,0,0,44
45,444,Pine#2,23808,5120,0,221,197,0,15,0,1,0,0,45
46,444,Pine#2,20992,7424,0,249,196,0,15,0,1,0,0,46
47,444,Pine#2,14080,12544,0,262,151,0,15,0,1,0,0,47
48,444,Pine#2,16640,20992,0,241,168,0,15,0,1,0,0,48
49,445,Pine#3,31232,53248,0,200,197,0,7,0,1,0,0,49
50,445,Pine#3,31232,51712,0,155,188,0,7,0,1,0,0,50
51,445,Pine#3,33024,52736,0,311,156,0,7,0,1,0,0,51
52,445,Pine#3,33536,57088,0,181,194,0,7,0,1,0,0,52
53,444,Pine#2,59392,51456,0,112,177,0,15,0,1,0,0,53
54,443,Pine#1,56576,50944,0,232,177,0,18,0,1,0,0,54
55,445,Pine#3,15104,27392,0,336,182,0,7,0,1,0,0,55
56,445,Pine#3,14336,24832,0,16,152,0,7,0,1,0,0,56
57,445,Pine#3,13568,26368,0,17,159,0,7,0,1,0,0,57
58,445,Pine#3,5120,19200,0,26,173,0,7,0,1,0,0,58
59,445,Pine#3,3584,21248,0,111,154,0,7,0,1,0,0,59
60,445,Pine#3,2560,24576,0,311,175,0,7,0,1,0,0,60
61,445,Pine#3,2560,54784,0,294,199,0,7,0,1,0,0,61
62,445,Pine#3,5376,53504,0,209,199,0,7,0,1,0,0,62
63,445,Pine#3,5632,62464,0,306,155,0,7,0,1,0,0,63
64,445,Pine#3,11392,64640,0,38,182,0,7,0,1,0,0,64
65,445,Pine#3,8448,57600,0,302,170,0,7,0,1,0,0,65
66,445,Pine#3,6656,52224,0,243,169,0,7,0,1,0,0,66
67,445,Pine#3,4608,48384,0,17,199,0,7,0,1,0,0,67
68,445,Pine#3,4864,45056,0,155,155,0,7,0,1,0,0,68
69,445,Pine#3,30720,54272,0,22,162,0,7,0,1,0,0,69
70,445,Pine#3,32512,53248,0,144,160,0,7,0,1,0,0,70
71,445,Pine#3,34816,56064,0,36,178,0,7,0,1,0,0,71
72,445,Pine#3,34816,58112,0,233,183,0,7,0,1,0,0,72
73,445,Pine#3,36352,59904,0,78,159,0,7,0,1,0,0,73
74,445,Pine#3,26624,29184,0,205,153,0,7,0,1,0,0,74
75,445,Pine#3,21248,21248,0,354,168,0,7,0,1,0,0,75
76,445,Pine#3,21248,31232,0,214,168,0,7,0,1,0,0,76
77,445,Pine#3,24320,32256,0,71,190,0,7,0,1,0,0,77
78,445,Pine#3,44288,6912,0,161,186,0,7,0,1,0,0,78
79,445,Pine#3,43648,10496,0,11,199,0,7,0,1,0,0,79
80,445,Pine#3,46592,7168,0,166,171,0,7,0,1,0,0,80
81,445,Pine#3,46592,12800,0,323,188,0,7,0,1,0,0,81
82,445,Pine#3,46336,10624,0,243,163,0,7,0,1,0,0,82
83,443,Pine#1,42752,6912,0,352,162,0,18,0,1,0,0,83
84,443,Pine#1,42752,8448,0,174,154,0,18,0,1,0,0,84
85,443,Pine#1,42752,10496,0,110,199,0,18,0,1,0,0,85
86,443,Pine#1,44800,11520,0,234,178,0,18,0,1,0,0,86
87,443,Pine#1,44672,9088,0,109,150,0,18,0,1,0,0,87
88,444,Pine#2,44544,13312,0,9,167,0,15,0,1,0,0,88
89,444,Pine#2,43264,12544,0,13,160,0,15,0,1,0,0,89
90,444,Pine#2,56064,43008,0,115,169,0,15,0,1,0,0,90
91,444,Pine#2,54272,42496,0,294,163,0,15,0,1,0,0,91
92,444,Pine#2,62464,38016,0,334,154,0,15,0,1,0,0,92
93,444,Pine#2,54528,46208,0,94,168,0,15,0,1,0,0,93
94,444,Pine#2,53248,48256,0,87,182,0,15,0,1,0,0,94
95,444,Pine#2,55680,46976,0,319,168,0,15,0,1,0,0,95
96,444,Pine#2,57344,45312,0,152,157,0,15,0,1,0,0,96
97,444,Pine#2,57088,46336,0,0,176,0,15,0,1,0,0,97
98,444,Pine#2,57856,47360,0,50,193,0,15,0,1,0,0,98
99,444,Pine#2,53120,43776,0,322,197,0,15,0,1,0,0,99
100,444,Pine#2,44544,58112,0,85,172,0,15,0,1,0,0,100
101,444,Pine#2,43264,59136,0,246,154,0,15,0,1,0,0,101
102,444,Pine#2,62208,60672,0,261,156,0,15,0,1,0,0,102
103,444,Pine#2,56064,62208,0,357,162,0,15,0,1,0,0,103
104,444,Pine#2,63488,58112,0,71,168,0,15,0,1,0,0,104
105,444,Pine#2,64896,54144,0,104,172,0,15,0,1,0,0,105
106,444,Pine#2,59648,58112,0,349,150,0,15,0,1,0,0,106
107,444,Pine#2,60672,59392,0,121,191,0,15,0,1,0,0,107
108,444,Pine#2,59648,62720,0,54,160,0,15,0,1,0,0,108
109,445,Pine#3,62208,58368,0,258,160,0,7,0,1,0,0,109
110,445,Pine#3,63104,55296,0,258,191,0,7,0,1,0,0,110
111,445,Pine#3,62720,54016,0,269,180,0,7,0,1,0,0,111
112,445,Pine#3,59648,59136,0,76,156,0,7,0,1,0,0,112
113,445,Pine#3,58880,60672,0,163,189,0,7,0,1,0,0,113
114,445,Pine#3,62208,61440,0,249,177,0,7,0,1,0,0,114
115,445,Pine#3,43904,54272,0,225,185,0,7,0,1,0,0,115
116,445,Pine#3,42496,59392,0,224,158,0,7,0,1,0,0,116
117,445,Pine#3,44800,57600,0,343,198,0,7,0,1,0,0,117
118,445,Pine#3,55552,44544,0,298,161,0,7,0,1,0,0,118
119,445,Pine#3,51456,43776,0,99,164,0,7,0,1,0,0,119
120,445,Pine#3,52352,45056,0,204,194,0,7,0,1,0,0,120
121,443,Pine#1,59648,39936,0,318,197,0,18,0,1,0,0,121
122,443,Pine#1,58752,43520,0,27,161,0,18,0,1,0,0,122
123,443,Pine#1,54400,37248,0,237,171,0,18,0,1,0,0,123
124,443,Pine#1,50944,40064,0,287,183,0,18,0,1,0,0,124
125,443,Pine#1,49920,41216,0,115,153,0,18,0,1,0,0,125
126,443,Pine#1,44544,62464,0,179,153,0,18,0,1,0,0,126
127,443,Pine#1,37632,61696,0,172,154,0,18,0,1,0,0,127
128,443,Pine#1,37376,55296,0,140,162,0,18,0,1,0,0,128
129,443,Pine#1,39552,50816,0,269,156,0,18,0,1,0,0,129
130,443,Pine#1,38144,46848,0,263,173,0,18,0,1,0,0,130
131,443,Pine#1,38144,48896,0,203,161,0,18,0,1,0,0,131
132,443,Pine#1,37632,51200,0,312,177,0,18,0,1,0,0,132
133,443,Pine#1,44160,49536,0,338,168,0,18,0,1,0,0,133
134,443,Pine#1,60416,61696,0,337,175,0,18,0,1,0,0,134
135,443,Pine#1,62208,62720,0,311,186,0,18,0,1,0,0,135
136,443,Pine#1,61952,45568,0,296,178,0,18,0,1,0,0,136
137,443,Pine#1,62720,47872,0,295,199,0,18,0,1,0,0,137
138,443,Pine#1,63488,49920,0,348,179,0,18,0,1,0,0,138
139,443,Pine#1,60160,49664,0,193,181,0,18,0,1,0,0,139
140,443,Pine#1,64640,38144,0,305,154,0,18,0,1,0,0,140
141,443,Pine#1,51328,7680,0,345,150,0,18,0,1,0,0,141
142,443,Pine#1,55040,6400,0,353,195,0,18,0,1,0,0,142
143,443,Pine#1,60160,7552,0,198,186,0,18,0,1,0,0,143
144,443,Pine#1,61952,7424,0,294,152,0,18,0,1,0,0,144
145,443,Pine#1,64640,11776,0,135,159,0,18,0,1,0,0,145
146,443,Pine#1,58112,11136,0,205,178,0,18,0,1,0,0,146
147,443,Pine#1,59648,22016,0,266,186,0,18,0,1,0,0,147
148,443,Pine#1,62464,19968,0,213,172,0,18,0,1,0,0,148
149,443,Pine#1,58368,14592,0,197,182,0,18,0,1,0,0,149
150,443,Pine#1,61952,19456,0,345,196,0,18,0,1,0,0,150
151,443,Pine#1,59136,18432,0,9,168,0,18,0,1,0,0,151
152,443,Pine#1,60416,19200,0,18,166,0,18,0,1,0,0,152
153,443,Pine#1,62720,15616,0,43,177,0,18,0,1,0,0,153
154,444,Pine#2,61696,24064,0,305,185,0,15,0,1,0,0,154
155,444,Pine#2,59136,20736,0,84,166,0,15,0,1,0,0,155
156,444,Pine#2,60160,17920,0,203,179,0,15,0,1,0,0,156
157,444,Pine#2,62208,17664,0,228,158,0,15,0,1,0,0,157
158,444,Pine#2,63104,20864,0,181,152,0,15,0,1,0,0,158
159,444,Pine#2,60928,20736,0,34,161,0,15,0,1,0,0,159
160,444,Pine#2,58112,18432,0,274,150,0,15,0,1,0,0,160
161,444,Pine#2,64896,6144,0,351,151,0,15,0,1,0,0,161
162,444,Pine#2,60160,6272,0,115,194,0,15,0,1,0,0,162
163,444,Pine#2,56064,7168,0,277,166,0,15,0,1,0,0,163
164,444,Pine#2,58880,7296,0,262,199,0,15,0,1,0,0,164
165,444,Pine#2,54272,6144,0,306,181,0,15,0,1,0,0,165
166,444,Pine#2,15616,6400,0,211,184,0,15,0,1,0,0,166
167,444,Pine#2,13312,7424,0,241,163,0,15,0,1,0,0,167
168,444,Pine#2,15360,8960,0,235,180,0,15,0,1,0,0,168
169,444,Pine#2,21120,10368,0,2,189,0,15,0,1,0,0,169
170,445,Pine#3,15616,7552,0,273,188,0,7,0,1,0,0,170
171,445,Pine#3,15360,10752,0,240,193,0,7,0,1,0,0,171
172,445,Pine#3,19200,18176,0,197,172,0,7,0,1,0,0,172
173,445,Pine#3,13824,16640,0,148,195,0,7,0,1,0,0,173
174,445,Pine#3,7168,12288,0,63,196,0,7,0,1,0,0,174
175,445,Pine#3,2304,18688,0,264,165,0,7,0,1,0,0,175
176,445,Pine#3,8704,15104,0,273,167,0,7,0,1,0,0,176
177,445,Pine#3,4608,11520,0,95,185,0,7,0,1,0,0,177
178,445,Pine#3,3456,9216,0,344,153,0,7,0,1,0,0,178
179,445,Pine#3,1792,8960,0,291,162,0,7,0,1,0,0,179
180,445,Pine#3,1536,12544,0,220,180,0,7,0,1,0,0,180
181,445,Pine#3,4096,12800,0,343,168,0,7,0,1,0,0,181
182,445,Pine#3,10624,14976,0,126,180,0,7,0,1,0,0,182
183,445,Pine#3,29952,34816,0,79,186,0,7,0,1,0,0,183
184,445,Pine#3,28160,38912,0,130,171,0,7,0,1,0,0,184
185,445,Pine#3,26368,35328,0,252,152,0,7,0,1,0,0,185
186,444,Pine#2,26368,31232,0,221,154,0,15,0,1,0,0,186
187,444,Pine#2,26880,32768,0,124,187,0,15,0,1,0,0,187
188,444,Pine#2,28416,36352,0,272,180,0,15,0,1,0,0,188
189,444,Pine#2,22784,36096,0,161,172,0,15,0,1,0,0,189
190,444,Pine#2,22016,28672,0,350,164,0,15,0,1,0,0,190
191,444,Pine#2,18176,27904,0,280,191,0,15,0,1,0,0,191
192,444,Pine#2,19712,30720,0,282,181,0,15,0,1,0,0,192
193,444,Pine#2,20480,33280,0,14,168,0,15,0,1,0,0,193
194,444,Pine#2,25344,29184,0,93,160,0,15,0,1,0,0,194
195,444,Pine#2,25344,24832,0,254,159,0,15,0,1,0,0,195
196,444,Pine#2,24448,21632,0,295,167,0,15,0,1,0,0,196
197,444,Pine#2,21248,23680,0,14,175,0,15,0,1,0,0,197
198,444,Pine#2,17664,23808,0,243,165,0,15,0,1,0,0,198
199,445,Pine#3,26880,41216,0,283,167,0,7,0,1,0,0,199
200,445,Pine#3,26112,38400,0,112,187,0,7,0,1,0,0,200
201,445,Pine#3,24320,37120,0,217,181,0,7,0,1,0,0,201
202,445,Pine#3,23808,34048,0,36,162,0,7,0,1,0,0,202
203,445,Pine#3,23040,32000,0,128,162,0,7,0,1,0,0,203
204,445,Pine#3,23296,30208,0,188,172,0,7,0,1,0,0,204
205,445,Pine#3,23040,26624,0,355,158,0,7,0,1,0,0,205
206,445,Pine#3,21760,26496,0,258,192,0,7,0,1,0,0,206
207,445,Pine#3,19968,24576,0,26,192,0,7,0,1,0,0,207
208,445,Pine#3,22272,22272,0,23,156,0,7,0,1,0,0,208
209,445,Pine#3,23040,20736,0,83,179,0,7,0,1,0,0,209
210,445,Pine#3,25344,22784,0,329,161,0,7,0,1,0,0,210
211,445,Pine#3,36352,12288,0,293,175,0,7,0,1,0,0,211
212,445,Pine#3,38912,8960,0,134,175,0,7,0,1,0,0,212
213,445,Pine#3,40576,10368,0,157,170,0,7,0,1,0,0,213
214,445,Pine#3,35840,7936,0,289,178,0,7,0,1,0,0,214
215,445,Pine#3,37120,10496,0,357,155,0,7,0,1,0,0,215
216,445,Pine#3,40960,11264,0,324,158,0,7,0,1,0,0,216
217,445,Pine#3,62976,27392,0,57,185,0,7,0,1,0,0,217
218,445,Pine#3,62976,28672,0,303,195,0,7,0,1,0,0,218
219,445,Pine#3,61952,28928,0,131,178,0,7,0,1,0,0,219
220,445,Pine#3,63488,33792,0,176,188,0,7,0,1,0,0,220
221,445,Pine#3,56064,30720,0,138,162,0,7,0,1,0,0,221
222,445,Pine#3,52480,28288,0,12,155,0,7,0,1,0,0,222
223,445,Pine#3,50432,24832,0,31,180,0,7,0,1,0,0,223
224,445,Pine#3,50944,22016,0,85,182,0,7,0,1,0,0,224
225,445,Pine#3,49408,25088,0,296,192,0,7,0,1,0,0,225
226,445,Pine#3,49024,25984,0,141,195,0,7,0,1,0,0,226
227,445,Pine#3,51200,24320,0,40,188,0,7,0,1,0,0,227
228,445,Pine#3,55296,25600,0,209,180,0,7,0,1,0,0,228
229,445,Pine#3,52224,27648,0,190,193,0,7,0,1,0,0,229
230,445,Pine#3,53376,29056,0,281,152,0,7,0,1,0,0,230
231,445,Pine#3,51712,24064,0,37,157,0,7,0,1,0,0,231
232,445,Pine#3,52480,12160,0,343,187,0,7,0,1,0,0,232
233,445,Pine#3,55552,13312,0,317,152,0,7,0,1,0,0,233
234,445,Pine#3,60160,14592,0,86,180,0,7,0,1,0,0,234
235,445,Pine#3,63360,13440,0,239,196,0,7,0,1,0,0,235
236,445,Pine#3,54528,8960,0,237,175,0,7,0,1,0,0,236
237,445,Pine#3,51072,11776,0,39,168,0,7,0,1,0,0,237
238,445,Pine#3,46976,15232,0,180,161,0,7,0,1,0,0,238
239,445,Pine#3,38912,13184,0,309,168,0,7,0,1,0,0,239
240,445,Pine#3,54400,12160,0,86,184,0,7,0,1,0,0,240
241,445,Pine#3,31488,5632,0,332,175,0,7,0,1,0,0,241
242,445,Pine#3,28672,5120,0,24,167,0,7,0,1,0,0,242
243,445,Pine#3,26880,7424,0,63,156,0,7,0,1,0,0,243
244,445,Pine#3,22016,8704,0,33,177,0,7,0,1,0,0,244
245,445,Pine#3,18176,6400,0,296,184,0,7,0,1,0,0,245
246,445,Pine#3,9856,5888,0,210,152,0,7,0,1,0,0,246
247,445,Pine#3,13824,4096,0,355,171,0,7,0,1,0,0,247
248,445,Pine#3,17408,3968,0,200,192,0,7,0,1,0,0,248
249,445,Pine#3,8192,11520,0,163,153,0,7,0,1,0,0,249
250,445,Pine#3,4224,5504,0,192,164,0,7,0,1,0,0,250
251,445,Pine#3,256,9088,0,43,171,0,7,0,1,0,0,251
252,445,Pine#3,27392,62976,0,122,194,0,7,0,1,0,0,252
253,445,Pine#3,8704,63232,0,240,185,0,7,0,1,0,0,253
254,445,Pine#3,4480,41728,0,145,161,0,7,0,1,0,0,254
255,445,Pine#3,4864,62976,0,5,194,0,7,0,1,0,0,255
256,445,Pine#3,19200,62464,0,138,177,0,7,0,1,0,0,256
257,445,Pine#3,28416,65280,0,255,197,0,7,0,1,0,0,257
258,445,Pine#3,30592,64896,0,35,163,0,7,0,1,0,0,258
259,445,Pine#3,26880,58624,0,66,196,0,7,0,1,0,0,259
260,445,Pine#3,26624,54784,0,334,168,0,7,0,1,0,0,260
261,445,Pine#3,21248,55168,0,315,199,0,7,0,1,0,0,261
262,445,Pine#3,26368,49920,0,350,192,0,7,0,1,0,0,262
263,445,Pine#3,25344,49408,0,24,194,0,7,0,1,0,0,263
264,445,Pine#3,22784,46080,0,72,162,0,7,0,1,0,0,264
265,445,Pine#3,25088,46336,0,212,165,0,7,0,1,0,0,265
266,445,Pine#3,27136,45312,0,318,174,0,7,0,1,0,0,266
267,445,Pine#3,27904,43776,0,72,186,0,7,0,1,0,0,267
268,445,Pine#3,29312,43008,0,88,174,0,7,0,1,0,0,268
269,445,Pine#3,1920,45568,0,262,176,0,7,0,1,0,0,269
270,445,Pine#3,640,47616,0,340,157,0,7,0,1,0,0,270
271,445,Pine#3,4608,49664,0,296,186,0,7,0,1,0,0,271
272,445,Pine#3,1024,50432,0,112,192,0,7,0,1,0,0,272
273,445,Pine#3,1792,56704,0,169,153,0,7,0,1,0,0,273
274,445,Pine#3,5120,59904,0,189,183,0,7,0,1,0,0,274
275,445,Pine#3,4352,62208,0,329,191,0,7,0,1,0,0,275
276,445,Pine#3,9728,63360,0,167,175,0,7,0,1,0,0,276
277,445,Pine#3,8960,58112,0,151,152,0,7,0,1,0,0,277
278,445,Pine#3,1536,42624,0,186,195,0,7,0,1,0,0,278
279,445,Pine#3,3712,32768,0,138,197,0,7,0,1,0,0,279
280,445,Pine#3,3328,28800,0,255,151,0,7,0,1,0,0,280
281,445,Pine#3,3840,28160,0,41,155,0,7,0,1,0,0,281
282,443,Pine#1,1792,59392,0,63,195,0,18,0,1,0,0,282
283,443,Pine#1,6528,65024,0,340,189,0,18,0,1,0,0,283
284,443,Pine#1,6656,55040,0,135,170,0,18,0,1,0,0,284
285,443,Pine#1,5888,50944,0,354,162,0,18,0,1,0,0,285
286,443,Pine#1,3328,51712,0,68,150,0,18,0,1,0,0,286
287,443,Pine#1,256,51968,0,44,165,0,18,0,1,0,0,287
288,443,Pine#1,768,62976,0,353,177,0,18,0,1,0,0,288
289,443,Pine#1,26752,65024,0,202,178,0,18,0,1,0,0,289
290,443,Pine#1,18176,62976,0,79,185,0,18,0,1,0,0,290
291,443,Pine#1,17920,61952,0,244,162,0,18,0,1,0,0,291
292,443,Pine#1,20608,62208,0,125,172,0,18,0,1,0,0,292
293,443,Pine#1,22656,65024,0,60,153,0,18,0,1,0,0,293
294,443,Pine#1,28160,61952,0,264,154,0,18,0,1,0,0,294
295,443,Pine#1,26624,53248,0,202,161,0,18,0,1,0,0,295
296,443,Pine#1,24576,51584,0,76,187,0,18,0,1,0,0,296
297,443,Pine#1,29440,46080,0,344,157,0,18,0,1,0,0,297
298,443,Pine#1,16384,28416,0,92,166,0,18,0,1,0,0,298
299,443,Pine#1,20736,25856,0,16,189,0,18,0,1,0,0,299
300,443,Pine#1,20736,28160,0,46,189,0,18,0,1,0,0,300
301,443,Pine#1,18944,27392,0,98,196,0,18,0,1,0,0,301
302,443,Pine#1,18944,23552,0,2,169,0,18,0,1,0,0,302
303,443,Pine#1,22528,31744,0,106,163,0,18,0,1,0,0,303
304,443,Pine#1,16768,9216,0,277,191,0,18,0,1,0,0,304
305,443,Pine#1,18816,7808,0,170,152,0,18,0,1,0,0,305
306,443,Pine#1,20736,5888,0,329,186,0,18,0,1,0,0,306
307,443,Pine#1,1792,26624,0,164,160,0,18,0,1,0,0,307
308,443,Pine#1,25088,6912,0,239,178,0,18,0,1,0,0,308
309,443,Pine#1,23552,7424,0,10,175,0,18,0,1,0,0,309
310,443,Pine#1,23296,6144,0,320,185,0,18,0,1,0,0,310
311,443,Pine#1,23296,9472,0,297,185,0,18,0,1,0,0,311
312,443,Pine#1,22784,10496,0,88,183,0,18,0,1,0,0,312
313,443,Pine#1,18816,11520,0,51,178,0,18,0,1,0,0,313
314,443,Pine#1,13312,9728,0,268,191,0,18,0,1,0,0,314
315,443,Pine#1,12544,6144,0,252,191,0,18,0,1,0,0,315
316,443,Pine#1,52992,26368,0,62,193,0,18,0,1,0,0,316
317,443,Pine#1,51200,26112,0,184,159,0,18,0,1,0,0,317
318,443,Pine#1,51200,27264,0,46,183,0,18,0,1,0,0,318
319,443,Pine#1,50944,26880,0,147,157,0,18,0,1,0,0,319
320,443,Pine#1,48128,25344,0,115,162,0,18,0,1,0,0,320
321,443,Pine#1,48384,24064,0,273,197,0,18,0,1,0,0,321
322,443,Pine#1,49664,22784,0,50,197,0,18,0,1,0,0,322
323,443,Pine#1,51712,20992,0,279,178,0,18,0,1,0,0,323
324,443,Pine#1,39936,11520,0,286,170,0,18,0,1,0,0,324
325,443,Pine#1,39680,19200,0,345,183,0,18,0,1,0,0,325
326,443,Pine#1,41472,19200,0,57,187,0,18,0,1,0,0,326
327,443,Pine#1,39936,26880,0,358,154,0,18,0,1,0,0,327
328,443,Pine#1,41728,26752,0,226,152,0,18,0,1,0,0,328
329,443,Pine#1,45312,32000,0,265,199,0,18,0,1,0,0,329
330,443,Pine#1,44544,34048,0,40,196,0,18,0,1,0,0,330
331,443,Pine#1,43520,32768,0,281,171,0,18,0,1,0,0,331
332,425,Rune Stone,5376,57600,0,0,100,1,0,0,1,0,0,332
333,409,Log,12800,28160,0,214,100,1,0,0,1,0,0,333
334,409,Log,10240,29184,0,355,100,1,0,0,1,0,0,334
335,409,Log,27136,55808,0,191,100,1,0,0,1,0,0,335
336,409,Log,21504,55808,0,31,100,1,0,0,1,0,0,336
337,409,Log,5504,56576,0,336,100,1,0,0,1,0,0,337
338,409,Log,53888,62080,0,14,100,1,0,0,1,0,0,338
339,409,Log,58624,45312,0,25,100,1,0,0,1,0,0,339
340,409,Log,49920,51072,0,235,100,1,0,0,1,0,0,340
341,444,Pine#2,43776,50432,0,358,160,0,15,0,1,0,0,341
342,444,Pine#2,39680,46080,0,26,189,0,15,0,1,0,0,342
343,444,Pine#2,37888,39680,0,259,177,0,15,0,1,0,0,343
344,444,Pine#2,37376,46336,0,50,186,0,15,0,1,0,0,344
345,444,Pine#2,35072,48128,0,299,177,0,15,0,1,0,0,345
346,444,Pine#2,36096,50176,0,240,191,0,15,0,1,0,0,346
347,444,Pine#2,36608,52736,0,336,184,0,15,0,1,0,0,347
348,445,Pine#3,42368,49152,0,235,154,0,7,0,1,0,0,348
349,445,Pine#3,33280,51072,0,266,194,0,7,0,1,0,0,349
350,445,Pine#3,41728,47872,0,305,198,0,7,0,1,0,0,350
351,445,Pine#3,39168,49408,0,228,180,0,7,0,1,0,0,351
352,445,Pine#3,35840,47616,0,183,154,0,7,0,1,0,0,352
353,445,Pine#3,38784,44288,0,191,168,0,7,0,1,0,0,353
354,445,Pine#3,38656,43264,0,242,192,0,7,0,1,0,0,354
355,445,Pine#3,43008,61440,0,355,192,0,7,0,1,0,0,355
356,445,Pine#3,55808,63616,0,86,177,0,7,0,1,0,0,356
357,445,Pine#3,60928,63104,0,19,170,0,7,0,1,0,0,357
358,445,Pine#3,46592,63488,0,293,184,0,7,0,1,0,0,358
359,445,Pine#3,37120,63488,0,8,178,0,7,0,1,0,0,359
360,445,Pine#3,37376,59136,0,194,155,0,7,0,1,0,0,360
361,445,Pine#3,47616,55296,0,281,158,0,7,0,1,0,0,361
362,445,Pine#3,47360,50944,0,246,190,0,7,0,1,0,0,362
363,445,Pine#3,46336,52736,0,266,198,0,7,0,1,0,0,363
364,445,Pine#3,49152,51456,0,283,173,0,7,0,1,0,0,364
365,445,Pine#3,49664,53888,0,354,178,0,7,0,1,0,0,365
366,445,Pine#3,47104,53632,0,120,177,0,7,0,1,0,0,366
367,444,Pine#2,45568,52736,0,217,156,0,15,0,1,0,0,367
368,444,Pine#2,48128,51456,0,148,198,0,15,0,1,0,0,368
369,444,Pine#2,50944,51456,0,26,163,0,15,0,1,0,0,369
370,444,Pine#2,50560,52480,0,62,156,0,15,0,1,0,0,370
371,443,Pine#1,47104,51712,0,189,173,0,18,0,1,0,0,371
372,443,Pine#1,45824,50176,0,44,199,0,18,0,1,0,0,372
373,444,Pine#2,34816,10624,0,208,161,0,15,0,1,0,0,373
374,444,Pine#2,63232,9856,0,266,164,0,15,0,1,0,0,374
375,444,Pine#2,59648,12544,0,335,171,0,15,0,1,0,0,375
376,444,Pine#2,39808,8576,0,350,187,0,15,0,1,0,0,376
377,445,Pine#3,37120,9216,0,34,199,0,7,0,1,0,0,377
378,443,Pine#1,38144,8192,0,74,159,0,18,0,1,0,0,378
379,443,Pine#1,35456,11264,0,238,158,0,18,0,1,0,0,379
380,443,Pine#1,35200,12544,0,138,176,0,18,0,1,0,0,380
381,443,Pine#1,41600,8960,0,86,197,0,18,0,1,0,0,381
382,443,Pine#1,59008,9984,0,270,175,0,18,0,1,0,0,382
383,443,Pine#1,33536,8960,0,260,150,0,18,0,1,0,0,383
384,443,Pine#1,29184,11008,0,345,152,0,18,0,1,0,0,384
385,443,Pine#1,30208,7168,0,42,193,0,18,0,1,0,0,385
